Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7244,The Poisonwood Bible,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",4,4.10,Harper Perennial Modern Classics,Hardcover,546,2005,1998,,2020/10/10,,,read,,,,1,0
40961621,"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa",Adam Hochschild,"Hochschild, Adam",,"=""""","=""""",0,4.17,Mariner Books,Kindle Edition,442,1999,1998,,2020/07/02,,,read,,,,1,0
49644992,"The Price of Peace: Money, Democracy, and the Life of John Maynard Keynes",Zachary D. Carter,"Carter, Zachary D.",,"=""0525509038""","=""9780525509035""",0,4.42,Random House,Hardcover,656,2020,2020,,2020/10/06,to-read,to-read (#89),to-read,,,,0,0
40588301,An American Summer,Alex Kotlowitz,"Kotlowitz, Alex",,"=""1984841173""","=""9781984841179""",0,4.33,Books on Tape,Audio CD,0,2019,2019,,2019/12/14,,,read,,,,1,0
43821581,The Only Plane in the Sky: An Oral History of 9/11,Garrett M. Graff,"Graff, Garrett M.",,"=""""","=""""",0,4.72,Simon & Schuster Audio ,Audiobook,16,2019,2019,,2020/03/16,,,read,,,,1,0
50165554,One Billion Americans: The Case for Thinking Bigger,Matthew Yglesias,"Yglesias, Matthew",,"=""0593190211""","=""9780593190210""",0,3.88,Portfolio,Hardcover,267,2020,2020,,2020/09/15,to-read,to-read (#88),to-read,,,,0,0
25812847,Silk Roads,Peter Frankopan,"Frankopan, Peter",,"=""1408839970""","=""9781408839973""",3,4.18,Bloomsbury,Hardcover,636,2015,2015,,2020/05/09,,,read,,,,1,0
86856,A Cook's Tour: Global Adventures in Extreme Cuisines,Anthony Bourdain,"Bourdain, Anthony",,"=""0060012781""","=""9780060012786""",4,4.08,HarperCollins ECCO,Hardcover,277,2002,2001,,2020/08/19,,,read,"Bourdain has quite the gift for making other cultures and - of course - their food, so tantalizing. It's amazing what a description of a unique meal with people whose lives are so different from your own can make you feel.",,,1,0
41817481,Underland: A Deep Time Journey,Robert Macfarlane,"Macfarlane, Robert",,"=""0393242145""","=""9780393242140""",3,4.23,W.W. Norton & Company,Hardcover,496,2019,2019,,2019/12/14,,,read,,,,1,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","John Rutherford, Roberto González Echevarría","=""""","=""""",0,3.90,Penguin Books,Paperback,1023,2003,1605,,2020/06/27,to-read,to-read (#87),to-read,,,,0,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Ива Николова, Borut Kraševec, Larissa Volokhonsky, Richard Pevear","=""""","=""""",0,4.37,"Farrar, Straus and Giroux",Paperback,796,2002,1880,,2020/06/27,to-read,to-read (#86),to-read,,,,0,0
50053432,The Decadent Society: How We Became the Victims of Our Own Success,Ross Douthat,"Douthat, Ross",,"=""1476785244""","=""9781476785240""",0,3.77,Avid Reader Press / Simon  Schuster,Hardcover,272,2020,2020,,2020/06/20,to-read,to-read (#85),to-read,,,,0,0
49930783,Why We're Polarized,Ezra Klein,"Klein, Ezra",,"=""1797107658""","=""9781797107653""",0,4.22,Simon  Schuster Audio,Audio CD,,2020,2020,,2020/06/20,to-read,to-read (#84),to-read,,,,0,0
36711317,"One Person, No Vote: How Voter Suppression Is Destroying Our Democracy",Carol  Anderson,"Anderson, Carol",Tonya Bolden,"=""1635571375""","=""9781635571370""",3,4.40,Bloomsbury Publishing,Hardcover,288,2018,2018,,2018/10/04,,,read,"The information in this book was great. It clearly lays bare the many (unfortunately successful) attempts at voter suppression against people of color and the poor. From voter ID laws to voter roll purges, the tools of voter suppression are well described and enumerated. I also appreciated the mention of specific court cases have degraded the right to vote over time.<br/><br/>I was not surprised to find that this book makes no attempt to be nonpartisan or neutral in its description of voter suppression. With that said, I found most of the language that was not factual to be primarily intended to magnify the malice of GOP suppression tactics. At many points this became distracting.<br/><br/>I think I would have enjoyed this book more if I read it further in the future or hadn't been as steeped in recent voter suppression stories. If you're familiar with the tactics of Kobach, Kemp, the NC Voter ID law, and states' voter purges then this book will serve as a refresher. If you're not familiar with these recent events, then you should read this book!",,,1,0
36341671,Assad or We Burn the Country: How One Family's Lust for Power Destroyed Syria,Sam Dagher,"Dagher, Sam",,"=""0316556726""","=""9780316556729""",4,4.30,"Little, Brown and Company",Hardcover,564,2019,2019,2020/05/15,2019/12/14,,,read,,,,2,0
